word,spell_band,spell_band_name,typical_window,read_band,word_type,pattern,spelling_expectation,picture_friendly,moviedu_priority,letter_count,ca_standards,sources,notes
bad,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bag,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cab,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
can,1,Start of year,Aug–Oct,1,both,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Conventional spelling is the K target: map each sound to a letter (L.K.2.d). California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
cap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dab,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dad,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fan,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
gas,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
had,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
ham,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
jab,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
jam,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lab,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mad,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
man,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
map,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
nap,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pad,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pan,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pat,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rag,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
ram,1,Start of year,Aug–Oct,1,decodable,CVC-short-a,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
